=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.09.17 17:45:26 =~=~=~=~=~=~=~=~=~=~=~=
289000,0,11135.18,22.62,10378.89,24.17,10279.83,24.39
290000,0,11126.68,22.64,10360.63,24.21,10244.27,24.46
291000,0,11118.13,22.65,10343.44,24.25,10208.58,24.54
292000,0,11108.55,22.67,10326.02,24.29,10172.66,24.62
293000,0,11090.42,22.71,10307.51,24.33,10134.82,24.70
294000,0,11080.36,22.73,10288.97,24.37,10100.66,24.78
295000,0,11068.92,22.75,10269.07,24.41,10066.16,24.85
296000,0,11057.08,22.77,10248.97,24.45,10031.23,24.93
297000,0,11054.00,22.78,10229.52,24.49,9997.05,25.01
298000,0,11044.75,22.80,10209.61,24.54,9964.22,25.08
299000,0,11031.19,22.83,10190.33,24.58,9930.29,25.16
300000,0,11018.29,22.85,10169.78,24.62,9896.26,25.23
301000,0,11004.47,22.88,10150.97,24.67,9859.41,25.32
302000,0,10981.84,22.92,10131.63,24.71,9826.48,25.39
303000,0,10968.55,22.95,10111.22,24.75,9792.92,25.47
304000,0,10953.21,22.98,10090.62,24.80,9763.25,25.54
305000,0,10937.09,23.01,10069.85,24.84,9733.21,25.60
306000,0,10920.03,23.05,10048.31,24.89,9698.64,25.68
307000,0,10898.58,23.09,10027.21,24.94,9667.70,25.76
308000,0,10881.40,23.13,10003.79,24.99,9637.20,25.83
309000,0,10867.09,23.16,9979.44,25.05,9614.70,25.88
310000,0,10842.85,23.21,9956.59,25.10,9581.78,25.96
311000,0,10822.45,23.25,9933.93,25.15,9548.14,26.04
312000,0,10795.54,23.30,9906.61,25.21,9515.65,26.11
313000,0,10778.85,23.34,9883.97,25.26,9484.94,26.18
314000,0,10759.95,23.37,9863.12,25.31,9456.62,26.25
315000,0,10742.25,23.41,9842.64,25.35,9424.72,26.33
316000,0,10724.05,23.45,9822.60,25.40,9396.50,26.40
317000,0,10703.98,23.49,9802.54,25.45,9370.79,26.46
318000,0,10685.95,23.53,9781.76,25.49,9345.35,26.52
319000,0,10669.79,23.56,9765.34,25.53,9321.03,26.58
320000,0,10652.10,23.60,9743.98,25.58,9293.16,26.64
321000,0,10638.55,23.63,9722.66,25.63,9265.46,26.71
322000,0,10608.56,23.69,9701.10,25.68,9239.94,26.77
323000,0,10588.87,23.73,9681.97,25.72,9210.36,26.85
324000,0,10571.55,23.76,9662.39,25.77,9185.34,26.91
325000,0,10554.26,23.80,9642.47,25.81,9163.35,26.96
326000,0,10536.38,23.84,9623.41,25.86,9140.67,27.02
327000,0,10518.30,23.88,9604.58,25.90,9118.40,27.07
328000,0,10496.30,23.92,9585.78,25.95,9097.08,27.13
329000,0,10479.31,23.96,9565.72,25.99,9074.02,27.18
330000,0,10461.74,24.00,9546.90,26.04,9052.11,27.24
331000,0,10444.48,24.03,9529.35,26.08,9024.71,27.31
332000,0,10427.17,24.07,9511.70,26.12,9003.68,27.36
333000,0,10409.28,24.11,9493.24,26.16,8985.67,27.41
334000,0,10391.09,24.15,9476.44,26.20,8965.62,27.46
335000,0,10364.40,24.20,9457.94,26.25,8944.77,27.51
336000,0,10345.89,24.24,9438.98,26.29,8925.40,27.56
337000,0,10326.83,24.28,9421.51,26.34,8905.50,27.61
338000,0,10309.57,24.32,9402.98,26.38,8884.71,27.66
339000,0,10290.58,24.36,9385.00,26.42,8860.78,27.72
340000,0,10272.85,24.40,9367.77,26.46,8840.89,27.77
341000,0,10261.55,24.43,9350.08,26.51,8822.75,27.82
342000,0,10246.40,24.46,9333.07,26.55,8802.29,27.87
343000,0,10227.27,24.50,9314.59,26.59,8783.32,27.92
344000,0,10208.49,24.54,9293.89,26.64,8764.47,27.97
345000,0,10188.02,24.58,9273.96,26.69,8741.21,28.03
346000,0,10169.48,24.63,9254.14,26.74,8716.13,28.10
347000,0,10148.77,24.67,9234.67,26.79,8688.98,28.17
348000,0,10122.63,24.73,9215.95,26.83,8666.51,28.23
349000,0,10104.50,24.77,9196.81,26.88,8644.04,28.29
350000,0,10086.46,24.81,9177.62,26.93,8623.67,28.34
351000,0,10068.84,24.85,9161.11,26.97,8604.99,28.39
352000,0,10052.16,24.88,9143.45,27.01,8585.49,28.44
353000,0,10035.86,24.92,9124.59,27.06,8566.62,28.49
354000,0,10014.02,24.97,9107.23,27.10,8548.21,28.54
355000,0,9994.80,25.01,9090.51,27.14,8525.91,28.60
356000,0,9976.54,25.05,9073.13,27.19,8507.58,28.65
357000,0,9959.65,25.09,9055.14,27.23,8490.05,28.70
358000,0,9940.80,25.13,9038.42,27.27,8472.35,28.75
359000,0,9921.83,25.18,9021.67,27.32,8453.48,28.80
360000,0,9904.84,25.21,9005.62,27.36,8434.67,28.85
361000,0,9883.68,25.26,8988.27,27.40,8415.79,28.90
362000,0,9863.70,25.31,8971.95,27.44,8399.00,28.94
363000,0,9846.63,25.35,8956.58,27.48,8374.01,29.01
364000,0,9829.27,25.38,8939.64,27.52,8354.47,29.07
365000,0,9812.41,25.42,8921.60,27.57,8334.44,29.12
366000,0,9794.24,25.46,8903.91,27.61,8314.20,29.18
367000,0,9777.20,25.50,8886.39,27.66,8294.72,29.23
